                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.0661,                 2.3626,                 1.2752,                0.62268,                0.73153,                0.71296,                 0.5016,                 1.0655,                 1.4089,                 1.1359,              0.0002081,              0.0002081,              0.0002081
                      2,                 1.0028,                 1.4646,                 1.2085,                0.70699,                0.78622,                0.74996,                0.54966,                 0.9754,                 1.0602,                 1.0701,             0.00040613,             0.00040613,             0.00040613
                      3,                0.98265,                 1.2439,                 1.1836,                0.74466,                0.78446,                0.76427,                0.56565,                0.96859,                0.93651,                 1.0561,             0.00059384,             0.00059384,             0.00059384
                      4,                0.96245,                 1.1237,                 1.1656,                0.75914,                0.85024,                0.80189,                0.59233,                0.93322,                0.86872,                 1.0476,             0.00057859,             0.00057859,             0.00057859
                      5,                0.93504,                 1.0352,                 1.1513,                0.76548,                0.82842,                0.81857,                0.62412,                0.86845,                0.78306,                  1.002,             0.00057859,             0.00057859,             0.00057859
                      6,                0.91035,                0.98894,                 1.1376,                0.79173,                 0.8186,                0.82943,                0.62952,                0.87079,                0.75367,                 1.0015,             0.00056313,             0.00056313,             0.00056313
                      7,                0.88393,                0.93135,                 1.1245,                 0.8016,                0.83422,                0.84534,                0.64788,                0.84869,                0.72931,                0.98876,             0.00054766,             0.00054766,             0.00054766
                      8,                0.87729,                0.89803,                 1.1163,                0.77027,                0.86699,                0.83976,                0.65378,                0.83316,                0.69749,                0.98852,             0.00053219,             0.00053219,             0.00053219
                      9,                 0.8661,                0.88454,                 1.1123,                0.79417,                0.83663,                 0.8597,                0.66834,                0.85235,                0.68339,                0.99349,             0.00051672,             0.00051672,             0.00051672
                     10,                0.84934,                0.85209,                 1.1062,                0.78635,                0.84928,                0.85387,                0.66279,                0.81216,                0.66534,                0.96671,             0.00050125,             0.00050125,             0.00050125
                     11,                0.83569,                0.83439,                 1.0975,                0.79384,                0.85415,                0.85469,                0.68072,                0.79273,                0.65469,                0.95087,             0.00048578,             0.00048578,             0.00048578
                     12,                0.82718,                0.81371,                 1.0912,                0.79241,                0.87839,                0.87265,                0.68079,                0.81804,                0.62913,                0.96579,             0.00047031,             0.00047031,             0.00047031
                     13,                0.82569,                0.80169,                 1.0911,                0.79846,                0.89191,                0.86592,                0.69903,                 0.7646,                0.62315,                 0.9298,             0.00045484,             0.00045484,             0.00045484
                     14,                0.81707,                0.78807,                 1.0857,                 0.8316,                0.84855,                 0.8844,                0.71308,                0.76207,                0.60034,                0.93262,             0.00043937,             0.00043937,             0.00043937
                     15,                0.80074,                 0.7699,                 1.0798,                0.81004,                0.87953,                0.87616,                0.70525,                0.74606,                  0.606,                0.92764,             0.00042391,             0.00042391,             0.00042391
